"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.498018583813422,0.342010222148138,0.590032731971665,0.308698534171428,101.636445676209,84.25,2.23181305655194
"b",0.477606635033238,0.178508505637466,0.406616603465239,0.167213498405505,97.4707418435179,76,1.62029344886187
"m1",0.558067776739836,0.29250925144084,0.603948894876184,0.260107125271691,113.89138300813,77,2.02953537854563
"m2",0.543371191486449,0.295755671915572,0.591007923652975,0.270171123979697,110.892079895194,77.5,2.06310337737408
"z",0.552783388387577,0.27118727249298,0.57675674697023,0.232564434058697,112.812936405628,75.125,1.91661223428425
"zm",0.549422857412721,0.261811120669682,0.563676596917241,0.228903452996023,112.127113757698,76,1.90792186503179
"f",0.549790761936604,0.259522102039784,0.561791983950615,0.233801648908602,112.202196313593,77.625,1.93189612590273
"fm",0.53062348900861,0.265632750270628,0.547194037358299,0.235809746354312,108.290507960941,78.25,1.93707885309637
"o",0.571252796127333,0.291934616189301,0.618264373272597,0.256382451731576,116.582203291292,75.5,2.0194673710513
