"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.491840767755733,0.221238464005301,0.46314580483185,0.190272115420036,100.375666888925,77,1.75888495179458
"b",0.50374547481864,0.112893195783628,0.366652699183885,0.106710318980557,102.80519894258,64.125,1.29626175032876
"m1",0.524182139349978,0.180967685910897,0.455734601124417,0.156180236429782,106.975946806118,70.125,1.5681743391846
"m2",0.530887675775936,0.193714661135141,0.475556385425916,0.158204400329031,108.344423627742,69.625,1.5782287688285
"z",0.513261301873521,0.138136432711942,0.401573596712843,0.133817240286044,104.747204463984,69.875,1.4509675009583
"zm",0.521684826962741,0.139570601741444,0.411725660424589,0.133698521812963,106.466291216886,69.75,1.45423157292558
"f",0.503109623770746,0.15132441412422,0.404443707654961,0.137687850514256,102.675433422601,69.5,1.47331098704885
"fm",0.520446721098553,0.170381863100951,0.441246652603186,0.138044334933353,106.213616550725,68.125,1.47474080473098
"o",0.534029365595489,0.188704834715757,0.473892198034077,0.154118647648654,108.985584815406,69.25,1.5581815925054
