"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.00647399317740255,0.149484736167802,0.149526648755463,0.152535114608522,-1.32122309742909,95,1.53092927610454
"b",-0.0230862851329635,0.11616391287898,0.116696889440221,0.108983988518523,-4.71148676182928,94.75,1.294704356817
"m1",0.00221127006030902,0.156808981439737,0.156813871155017,0.137341066702416,0.451279604144699,92.75,1.45233025891533
"m2",0.00316104873217216,0.153742625305525,0.153752617534613,0.140632890459812,0.645111986157583,93.375,1.47007637998593
"z",-0.00414419602557042,0.136368519029534,0.136385693390233,0.121122727988999,-0.845754290932739,92.5,1.36604769201435
"zm",0.00887085073384952,0.157086467787309,0.157165159780051,0.121157136469758,1.81037770078562,91.75,1.3641796600718
"f",-0.020060286967488,0.145815940108821,0.146218355222039,0.127260406236306,-4.09393611581387,93.25,1.399491992618
"fm",-0.00691229495142598,0.140674174956719,0.140721954778214,0.121877534371786,-1.41067243906653,92.5,1.37046203080696
"o",0.00905771756193546,0.149436337160052,0.149518379407484,0.136974592835087,1.84851378815009,94.125,1.45088449246558
