"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0120402436214807,0.066826350319272,0.0669713177857366,0.0766780942201221,-2.45719257581238,97.5,1.08489042421619
"b",0.0142689867778166,0.0493530841988282,0.0495566881824937,0.0546628067005963,2.91203811792176,95.75,0.916105173371866
"m1",-0.0214164549507871,0.074632913248579,0.0750915777912381,0.0638341099702804,-4.37070509199737,92.25,0.989395201501459
"m2",-0.00716526742560258,0.0761960811456074,0.0762474222028878,0.0651945827466202,-1.46229947461277,92.5,1.0017562238854
"z",-0.00627995213457472,0.0612599294638757,0.0612993672626882,0.0560245007638369,-1.28162288460709,93.75,0.928079120381379
"zm",-0.0074217376887542,0.072754896324515,0.0728099785148356,0.0559979718287728,-1.51464034464372,91.25,0.926964015827537
"f",-0.00652405110476489,0.060193301874288,0.0602358651171056,0.057358228110133,-1.33143900097243,93.75,0.940922147701753
"fm",-0.00357775897238582,0.0617494597735186,0.0617622601327831,0.0561718309962705,-0.730154892323638,95.25,0.929576112118127
"o",-0.00377112696353255,0.0765087455297347,0.0765229669283098,0.0636107756001209,-0.769617747659703,91.75,0.988486138339059
