"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.499676433511308,0.265375028844855,0.515051567051435,0.231340893194906,101.974782349246,79,1.94370063216288
"b",0.497135512632008,0.133225993068047,0.380369710987936,0.128972944131916,101.456227067757,70.25,1.42689517118308
"m1",0.501652036097705,0.223625020846877,0.47527978616785,0.189620719494708,102.377966550552,74.5,1.72713179500118
"m2",0.507304219904375,0.241541071699333,0.498898643232119,0.192787740927669,103.531473449872,74.25,1.74404057156665
"z",0.531445703520458,0.207777346211229,0.490211882001583,0.16063601944903,108.45830684091,71.25,1.58897818491213
"zm",0.505223612605024,0.214452194796438,0.469703093530109,0.159375606748274,103.106859715311,73,1.59077977170265
"f",0.526336966336221,0.205220922037041,0.482251524169057,0.161382975188493,107.415707415555,69.5,1.58711347681634
"fm",0.503288066274651,0.202407761697663,0.45570663935214,0.169660158972573,102.711850260133,71.25,1.62750054350359
"o",0.489835377903664,0.231884376841477,0.471823074287503,0.179268778819031,99.9664036538091,74.5,1.67690086933722
