"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-7.10281287431558e-05,0.0937571516811083,0.0937571567261033,0.0924074382126902,-0.0144955364781951,94.625,1.19266368227972
"b",-0.0151121416000176,0.0636462937509655,0.0638746705747045,0.0640019682474196,-3.08411053061584,94.25,0.991839062161251
"m1",-0.00201386743518889,0.0960402584869882,0.0960443141490347,0.0809846476729628,-0.410993354120181,92.75,1.11545039931915
"m2",0.0120825362328657,0.0951607388881472,0.0953067265699657,0.0832192938379315,2.465823720993,93.375,1.13071421821938
"z",-0.0028028699789292,0.0743154470042182,0.074323303084337,0.0692658841840499,-0.572014281414123,93.6170212765958,1.031658288902
"zm",-0.0128775563776217,0.0772211556327933,0.0773869870910521,0.0689282255102158,-2.62807273012687,93.375,1.02973003239357
"f",0.00160783210346022,0.0866609664350303,0.0866635515591033,0.0741653951055027,0.328129000706167,94.25,1.0717764871289
"fm",-0.00390585362897283,0.0795458562684312,0.0795611119610022,0.0697947391036926,-0.79711298550466,93.375,1.03631945652408
"o",0.00744078227789974,0.0959446672083594,0.0960000324492665,0.0812874062422345,1.51852699548974,92.25,1.11810174456667
