"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.00885988643555191,0.148942683762523,0.149021181350174,0.155019330339199,-1.80814008888815,94.25,1.54090190621421
"b",-0.0085494872854005,0.103907366032973,0.103980459765816,0.106615692307299,-1.74479332355112,95.5,1.2794665184675
"m1",0.00856307199906164,0.151382406024031,0.151455732226092,0.137845117166354,1.74756571409421,94.4931163954944,1.45502056036538
"m2",0.0272473959894901,0.153442644535226,0.154185065123434,0.14084463328856,5.56069305907961,94.5,1.47141682024038
"z",0.00687814855582641,0.124603573363234,0.12465088229079,0.120732088863963,1.40370378690335,94.4931163954944,1.36135653040388
"zm",0.00160883563288011,0.141777468849022,0.141780057201116,0.120198238191742,0.328333802628594,92.5,1.3588311675837
"f",-0.0145443517121773,0.135763415548729,0.135974953715457,0.128070583870584,-2.9682350433015,94.125,1.40211307681106
"fm",-0.00543632644477721,0.129427352533763,0.129456906178977,0.120901154021364,-1.10945437648514,94.5,1.36561303498095
"o",-0.00494589599423068,0.144179912991489,0.144204374878675,0.138233250283679,-1.00936652943483,94,1.4583968034181
