"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.00534787681885174,0.120821797464849,0.120850397251319,0.114932907087637,-1.09140343241872,94.5,1.32925433934103
"b",0.0140439254672341,0.089210377862185,0.0894076097047142,0.082047371809641,2.86610723821104,93.5,1.12211583335169
"m1",-0.0100430202465919,0.117748922692845,0.117849784948519,0.0997826779970489,-2.04959596869223,92.75,1.23758413068646
"m2",-0.00413236312214166,0.125327115745162,0.125344192170135,0.10184693387261,-0.843339412681971,91.75,1.25160655150621
"z",-0.013941396347371,0.10330135426546,0.103495716797575,0.0905990291736539,-2.8451829280349,92.75,1.1789324353924
"zm",-0.0146205426088219,0.105493444880299,0.105707205146475,0.0899342016393553,-2.98378420588202,93,1.17571867737601
"f",-0.00337248799635986,0.107452597671466,0.107463971346752,0.091893387207238,-0.688262856399972,92.2305764411028,1.19051149902319
"fm",0.0118318924299601,0.0947839792483581,0.0949239729268322,0.0909060563056529,2.41467192448165,94.25,1.18097628497612
"o",-0.00158574715620058,0.111213110036439,0.111215624630482,0.0997285344192528,-0.323621868612363,94.25,1.23821026989433
