"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.452528300323223,0.185061794844446,0.389843657437872,0.156730596493846,92.3527143516782,74,1.58892643435362
"b",0.472309323456095,0.0815229183627377,0.304599015386291,0.0938413788948338,96.3896578481826,66,1.21329895280634
"m1",0.497888587826179,0.144749752128849,0.392642798016396,0.121228665058285,101.609915882894,67.5,1.38710754156562
"m2",0.497565311947304,0.150725098143975,0.398296337797193,0.124748868251319,101.543941213736,66.25,1.39587547918782
"z",0.502788164262549,0.121476576414045,0.374272514536549,0.0996635389603976,102.609829441337,61.25,1.25125243529367
"zm",0.479719850251895,0.114919329635922,0.345050464361623,0.100105053165862,97.9020102554888,64.5,1.25168421024832
"f",0.485740034094168,0.120378500797266,0.356321881519069,0.0990327790713359,99.1306192028913,64,1.24712848229662
"fm",0.514471593540786,0.122364454718859,0.387045475279255,0.104022822602431,104.994202763426,62,1.27434098103727
"o",0.492686999995961,0.14897690604367,0.39171738600869,0.112267906838594,100.548367346115,66.25,1.32663014838013
