"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.00855415576000285,0.154089204561976,0.154162378142743,0.15297680462121,-1.74574607346997,94.375,1.53363988333869
"b",-0.031474800899062,0.109908904237737,0.110899567329372,0.109246672951525,-6.4234287549106,94.6182728410513,1.29565333870709
"m1",-0.000556508696203273,0.146793813422942,0.146794123124871,0.136952547053211,-0.11357320330679,94,1.45196828744433
"m2",-0.0130086180811643,0.144393860267253,0.144563084411635,0.141628181170876,-2.65482001656415,94.75,1.47615477426038
"z",-0.0143863878050425,0.128925166502796,0.129132134656873,0.1211139307336,-2.93599751123317,93.75,1.36357933103566
"zm",-0.0225212803235956,0.125446689112633,0.125953897180047,0.120599649354738,-4.59617965787665,94.75,1.36230834101771
"f",0.00351465116495497,0.139491537681401,0.139503890454212,0.12975182387627,0.717275747949995,93.5,1.41443905721646
"fm",-0.0342234715143666,0.132308354863846,0.133479600866341,0.121719620563973,-6.98438194170746,94.25,1.36920539091147
"o",-0.0012911676801543,0.141100806345332,0.14110247345931,0.133231246513739,-0.263503608194756,94.875,1.43085490109144
