"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.021934595785777,0.11322756170747,0.113708688199755,0.114926327396389,-4.47644811954633,94,1.3279939843528
"b",-0.000187572449674711,0.0837014891397459,0.0837015243231697,0.0817378029033168,-0.0382800917703492,94.5,1.12045680815235
"m1",0.0121497944389751,0.114489255497169,0.114636873002078,0.0992915560847068,2.47954988550513,93,1.23538978131312
"m2",0.00252282248349417,0.129681278163773,0.129687642797056,0.101904761780197,0.514861731325341,90,1.25056667115244
"z",0.00335257750361501,0.0934105462792112,0.0934217860551289,0.0888748503350009,0.684199490533675,94.75,1.17061111566071
"zm",0.00659660355928249,0.0972632192665186,0.0973067344450369,0.0887841720872735,1.34624562434336,93.5,1.16915779258068
"f",0.0144065091930012,0.094335998972043,0.094543546479171,0.0904316705841154,2.94010391693903,95.5,1.18152390844405
"fm",-0.00287928067368004,0.0928838789556915,0.0928921692128893,0.0896014043459225,-0.587608300751029,95,1.17415743616485
"o",-0.00308721707802628,0.125149055111876,0.125158586021162,0.0969380866335419,-0.630044301638017,90.75,1.22086977974128
