"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0056882803296241,0.0858173231673323,0.0858496797004406,0.0764414099855419,-1.16087353665798,95,1.08393040857934
"b",-0.0138953758950487,0.0502311252627539,0.0504242067340186,0.0546149320094126,-2.83579099898954,95.75,0.9158609180188
"m1",0.0134871056532376,0.0774363198847468,0.0776182219036484,0.0634917276560676,2.75247054147707,91.5,0.987903840081195
"m2",0.00837076662189279,0.0785646731362561,0.0786347428700943,0.065656246533264,1.70831971875363,93,1.00391150788952
"z",0.00345120914399116,0.0785448628370944,0.07855677368165,0.0555115441791757,0.70432839673289,90.5,0.925143992134595
"zm",-0.000204566369103931,0.0573064929438345,0.0573065347912339,0.0552235857554109,-0.041748238592639,94.75,0.920878293696302
"f",0.00990192825073755,0.0703228447509621,0.0704208929340448,0.0562821542411863,2.02080168382399,92.75,0.933590572685771
"fm",-0.00105236549077853,0.0613117366299952,0.0613128441031214,0.0558147258988562,-0.214768467505822,93,0.926825832738312
"o",-0.0048549165126065,0.0742094370228266,0.074233007237171,0.061521328999159,-0.990799288287041,92,0.972712406292734
