"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.0033246179648026,0.0734437356907281,0.0734547887753399,0.0772678897943437,0.678493462204612,94.75,1.09062774335347
"b",-0.00346715413275295,0.0559266243273605,0.0559386454851408,0.053310079509906,-0.70758247607203,93.5,0.905763910268295
"m1",0.0118140281608788,0.0704563172811606,0.0705958885425467,0.0633162030267412,2.4110261552814,93,0.987166799014538
"m2",-0.004653170742909,0.0798805424044908,0.0799021944024535,0.0652639192982324,-0.949626682226326,92.5,1.0022430647678
"z",-0.0031064896811504,0.0738686352726714,0.0738782855508105,0.0546139548719058,-0.633977485949062,91.25,0.916144085213937
"zm",0.0139259950020255,0.0624888699552013,0.0626828032919978,0.0538900088343991,2.84203979633174,93,0.909660046623521
"f",0.00388537497809482,0.0659292019744621,0.0659442981131825,0.0567422339156069,0.792933668998944,94,0.936993697672855
"fm",-0.00366666558554718,0.0627215159550498,0.0627349603915661,0.054763541942277,-0.748299099091261,94.5,0.918005669308847
"o",-0.00826709634855993,0.0780632364602146,0.078131581342251,0.0616340008193253,-1.68716252011427,91.75,0.973172793584336
