"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0125406709116974,0.10189245992895,0.102049728355866,0.115560364746929,-2.55932059422395,96.2406015037594,1.33059942594576
"b",-0.000439072917248817,0.0756905067525845,0.0756906995376111,0.0797010631439272,-0.0896067178058811,95,1.10809528372995
"m1",-0.00293347392128035,0.115147644307687,0.115156249576934,0.0997667813669336,-0.598668147200071,91.5,1.23748746803162
"m2",-0.020765109518532,0.10486733721768,0.105298526990997,0.101398280739836,-4.23777745276163,95.25,1.25082338000746
"z",-0.000788091050183903,0.114587277111681,0.114587898199185,0.0891714566421773,-0.160834908200797,90,1.17184720600524
"zm",-0.00290799401647662,0.0913824924488792,0.0913909488780791,0.089023481911572,-0.593468166627882,94.75,1.16973262298103
"f",-0.0252600414866154,0.11342698214674,0.114065051842646,0.0936056339338552,-5.15511050747252,93.5,1.19845238335318
"fm",-0.0174349490474847,0.0998262215661412,0.10013019901443,0.090003165433794,-3.55815286683362,93.25,1.17561290245176
"o",-0.00931007259299815,0.108787747537191,0.108874424988878,0.100113128455209,-1.90001481489758,93.75,1.24153217229851
