"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.497123702441078,0.16316561963548,0.410297595164205,0.15616080585691,101.45381682471,76,1.58936837122967
"b",0.481009139993637,0.0980783695515162,0.329448162308934,0.0950461419958395,98.1651306109462,65,1.21786415595896
"m1",0.521157773909638,0.151251371556623,0.422856796863073,0.122277120820844,106.358729369314,62.25,1.39232289032968
"m2",0.517562826941786,0.165116166683595,0.432987446515568,0.125197867180565,105.625066722813,63.25,1.4033463166694
"z",0.512300459693435,0.140345921307725,0.40279768230983,0.106365713715112,104.55111422315,63,1.29667136758386
"zm",0.523329104684777,0.13507325449103,0.4089466063012,0.107145366768719,106.801858098934,62.75,1.29632792445922
"f",0.50838361430349,0.121309060804369,0.379762960096649,0.109135574655458,103.751758021121,62.75,1.31667940742847
"fm",0.501825568147397,0.145975399315915,0.397804300162372,0.109729057562549,102.413381254571,62,1.31584452731829
"o",0.498672137736935,0.142247001769228,0.390920902724352,0.121190018793773,101.769824027946,69.25,1.38041434678789
