"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0227382858828957,0.0787665351963987,0.079283564841291,0.0773264622985383,-4.6404665067134,94.5,1.08976226650866
"b",0.00521397868571344,0.0581124697771276,0.0581396553508626,0.0535619849107954,1.06407728279866,93.75,0.907575452644053
"m1",0.00617853794919609,0.0797786844744738,0.0798168588056635,0.0637727719554056,1.26092611208084,91,0.98952409977628
"m2",-0.00460523050129258,0.0766882110648779,0.0767094192128479,0.0652053261705826,-0.939842959447465,94.25,1.00160833932374
"z",-0.00146678181987936,0.0619944938081502,0.0619966452570574,0.0554672394425626,-0.299343228546808,92.9824561403509,0.923422442468834
"zm",-0.000794389947423424,0.0594386148625089,0.0594392459178974,0.0551716282402662,-0.162120397433352,95,0.920053594619852
"f",-0.0186401522735337,0.0651477307182484,0.0654951859950289,0.0581237208169138,-3.80411270888442,92.25,0.945865655339897
"fm",-0.00889678801911603,0.0670628295232184,0.0671419823602755,0.0557291573731922,-1.81567102430939,93.25,0.925582510812503
"o",0.00148815201000924,0.0847838805649633,0.0847860951613682,0.0641305356983572,0.30370449183862,90.75,0.99278799980339
