"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.452345079681108,0.253066546023357,0.457682617135066,0.237170860474762,92.3153223838996,81.5,1.94419559428622
"b",0.447393898284321,0.140415123230489,0.34057642345253,0.129325917689589,91.3048772008818,73.25,1.43015908809746
"m1",0.521065340215255,0.244276092643367,0.515785181417006,0.193375880437863,106.339865350052,74.75,1.74991771829649
"m2",0.536046540315028,0.236125521018107,0.523471414401818,0.195776454539128,109.397253125516,71.5,1.7642824442536
"z",0.523136941626571,0.215651361408978,0.48932362110338,0.173513681076134,106.76264114828,70.5,1.64792943537035
"zm",0.505344744840245,0.226115239136835,0.481488550274487,0.174737452141841,103.131580579642,71,1.65533691628261
"f",0.520402600884764,0.210102409168483,0.48092127617611,0.175161043481236,106.204612425462,73.5,1.66385779165101
"fm",0.510449702438377,0.201921653974777,0.462480552694205,0.178079583573198,104.173408660893,73.5,1.67472052065214
"o",0.515574713488709,0.217361208109001,0.483178493297965,0.189032372517716,105.21932928341,76.25,1.73500544858973
