"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.00167802965444819,0.0965949793794853,0.0965977951630065,0.091601580530254,-0.342455031520038,93.625,1.18603987849556
"b",-0.0103945277178801,0.0715320888102529,0.0716401350167307,0.0653583846195066,-2.12133218732248,93.375,1.00186611642074
"m1",-0.015297150294187,0.0862592553089154,0.0864932581160384,0.0807995821119357,-3.12186740697694,94.875,1.1143900508563
"m2",-0.0105430506455203,0.0959311372399587,0.0960422931568727,0.0833254376692067,-2.15164298888169,92.875,1.13171634567766
"z",-0.00867878848552972,0.0813058500832501,0.0813811714528267,0.0701086412080255,-1.77118132357749,93.25,1.03878382524311
"zm",-0.000393191676170357,0.0748759341681969,0.0748760887678911,0.0698891711180039,-0.0802431992184402,93.625,1.03711115457425
"f",-0.0117681823671648,0.0833975969405177,0.0835360870567446,0.074300329337183,-2.40166987084995,94.5,1.0692993637119
"fm",-0.00415277081511822,0.0817184751668758,0.0817357206723187,0.0707106909306334,-0.847504247983311,93.375,1.04290255417062
"o",0.00140003224465096,0.0947643386107131,0.0947662987009991,0.0807462097161375,0.285720866255298,93.25,1.11411314303395
