"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.47128501716738,0.346820323375778,0.568929890782236,0.310266385905551,96.1806157484449,84.875,2.26790550968819
"b",0.484777023835432,0.186737267251832,0.421746030090571,0.166356761333165,98.9340864970268,76.25,1.62202911609398
"m1",0.576218618069996,0.289355016877418,0.621382912687914,0.258398890935877,117.595636340815,77.125,2.0230131022776
"m2",0.568083232798745,0.293779829274619,0.616498388661691,0.259818163668777,115.935353632397,76.875,2.03461505291617
"z",0.532633772873459,0.234626931780851,0.518325667786267,0.216702466153813,108.700769974175,79.25,1.85916638498852
"zm",0.519233162949569,0.246565764129039,0.516168841635653,0.218573535367461,105.965951622361,77.875,1.86243508009065
"f",0.555768282583423,0.253314386548852,0.562192770474579,0.222228315996074,113.422098486413,74.875,1.87069485847317
"fm",0.532779623253729,0.217452324280447,0.501306451234832,0.227587375028245,108.730535357904,78.75,1.89680124182496
"o",0.548612552685238,0.264202757356414,0.565178490320227,0.243624592602591,111.961745445967,77.25,1.95238296411121
