"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0145458375053539,0.0912480663222148,0.091459647710947,0.0916416456502865,-2.96853826639875,95.25,1.18755382166831
"b",-0.00633178998276412,0.0665645168030352,0.066604608367421,0.0653506821920451,-1.2922020372988,94.9937421777222,1.00251674447369
"m1",-0.0257278469982647,0.0798995078998947,0.0805614300110608,0.0804722252789071,-5.25058102005402,95.375,1.11323181166596
"m2",-0.0117817951397227,0.082107304053043,0.0822461147497574,0.0837251611555139,-2.40444798769851,95.25,1.13419805393385
"z",-0.014162328617931,0.0721914348074905,0.0723920063593727,0.0697098906257778,-2.89027114651653,94.625,1.03528542967635
"zm",-0.0172927705486151,0.0718179580604456,0.0721169979736927,0.0693442779288965,-3.52913684665613,93.625,1.03266569833462
"f",-0.0204738437027837,0.0875652709822398,0.0879844492582058,0.0754219755969061,-4.17833544954768,92.5,1.07990091772607
"fm",-0.0155736261443521,0.0718307503638514,0.0720732881951354,0.07024370257401,-3.17829104986779,94.75,1.03943825902489
"o",-0.0134422380780888,0.0834730642310335,0.0836537579955815,0.0778769027137365,-2.7433138934875,94,1.09477283325026
