"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.00509567188306354,0.0935129935381262,0.0935389594100661,0.0926214469041678,1.03993303735991,94.25,1.19324977324893
"b",0.00251284003716451,0.0660247867363516,0.066031101101404,0.0640581723168991,0.512824497380512,95.625,0.992626675655506
"m1",0.00312605965617574,0.0786475691431679,0.0786573413921418,0.0806195368521435,0.637971358403212,95,1.1134388995901
"m2",-0.00210140478271581,0.0822092465066876,0.0822136624087484,0.0834105932442223,-0.428858118921594,95.375,1.13224751205277
"z",-0.00179164400551129,0.0707389547039628,0.0707421646922053,0.0684779290358573,-0.365641633777815,94.5,1.02614825822044
"zm",-0.0191688267634055,0.0669984448076937,0.0673658887271791,0.0679043089344356,-3.9120054619195,94.625,1.02261995045331
"f",0.00449792527320092,0.0793134212753769,0.0793336526071401,0.0756006652023974,0.91794393330631,93.875,1.08206157342358
"fm",-0.0246962973813398,0.076552996356876,0.0771629034612236,0.0692006564515711,-5.04006069006935,93.875,1.03178657087949
"o",-0.00290921456587939,0.0869448412260756,0.0869533047554659,0.077860571715281,-0.593717258342733,93.625,1.09437903441699
