"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.0127669302332235,0.165218431037609,0.165381425545189,0.154466197636957,2.60549596596398,94.125,1.53975190685768
"b",-0.00987059665609008,0.117642155725006,0.117739584403353,0.106813172324821,-2.01440748083471,94.5,1.28077526323196
"m1",-0.00974036277527363,0.141621456236089,0.141716330903083,0.137508384018413,-1.98782913781094,95.25,1.4540044485799
"m2",0.00854907743181726,0.138224753331549,0.138297840056484,0.141782724806412,1.74470967996271,95.625,1.47477412349346
"z",0.00908454491136795,0.131467667001135,0.131550195957381,0.119202806675889,1.85398875742203,93.75,1.35474797571591
"zm",0.00706432120117412,0.12118862790119,0.121238532535223,0.118604128574072,1.44169820432125,95,1.35082255636991
"f",-0.0128621273761698,0.138689050708993,0.138854485029634,0.130387360116648,-2.62492395432037,94.25,1.41933209730934
"fm",0.0074172537329269,0.127154653503201,0.127209669156139,0.120440608402634,1.51372525161773,94.125,1.36026098487722
"o",0.0183215858603131,0.148062424061589,0.148398104570026,0.133462645351134,3.73909915516593,93.875,1.43167557890095
