"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0234965352307921,0.118276299442024,0.118828386609876,0.11583524122709,-4.79521127159022,96.5,1.33449875322451
"b",-0.0101984678038208,0.0779881245130421,0.0780921332585877,0.079965844228647,-2.08131995996344,95.5,1.10851778734774
"m1",-0.0213237437766474,0.112240516257655,0.112695218306307,0.0995965456294243,-4.35178444421375,92.75,1.23716386198276
"m2",0.0178644546312386,0.113185810773887,0.113504949513159,0.101619076960851,3.64580706759972,92.5,1.25049766857238
"z",-0.010582203877429,0.103947736030874,0.104059719069777,0.0880866480628755,-2.15963344437326,92.5,1.163865495553
"zm",-0.00549569364994101,0.100311958729983,0.100342161378677,0.0874783583656452,-1.12157013264102,93.75,1.15912659564217
"f",-0.0096257013586204,0.10779048846869,0.107883142595335,0.0906774482501333,-1.96442884869804,92.75,1.18167081375101
"fm",-0.0214351829717807,0.0886686917916023,0.089128158860636,0.0888055224104486,-4.3745271370981,94.75,1.16689958828612
"o",-0.0169925688185806,0.105117381785225,0.105406129180279,0.097056956739817,-3.46787118746544,95.25,1.22202631835091
