"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.510167872098575,0.198142805991819,0.458414063713408,0.187826086012632,104.115892265015,76.875,1.74440897057016
"b",0.505078471009712,0.111904149741575,0.367008411619084,0.106675663874504,103.077238981574,65.125,1.30105535932751
"m1",0.520862337147124,0.178916374464362,0.450213948722727,0.152624566069656,106.298436152474,70,1.54590134325086
"m2",0.533686564327849,0.167938587762862,0.452759936706925,0.154171905819394,108.91562537303,69.125,1.55966235394392
"z",0.529742704011694,0.130865764826422,0.411493097280043,0.124223602759888,108.110755920754,66.75,1.39872232254461
"zm",0.523353458992839,0.139629063573392,0.413527906613161,0.125028513891146,106.806828365885,65.875,1.40416814730207
"f",0.517909499334091,0.155781680470325,0.424011929970813,0.127579982622897,105.695816190631,65.5,1.41787533275007
"fm",0.517692774142301,0.162480320938275,0.430486129337427,0.128758124229987,105.651586559653,66.25,1.43053142911371
"o",0.516417565837565,0.167303121237197,0.433990223542793,0.139447117491306,105.39133996685,68.875,1.48196425221269
