"","rbias","var_empirical","CP","CIlength"
"1",-0.342,0.097,93.625,1.186
"2",-2.121,0.072,93.375,1.002
"9",0.286,0.095,93.25,1.114
"5",-1.771,0.081,93.25,1.039
