"","rbias","var_empirical","CP","CIlength"
"1",-0.014,0.094,94.625,1.193
"2",-3.084,0.064,94.25,0.992
"9",1.519,0.096,92.25,1.118
"5",-0.572,0.074,93.617,1.032
