"","rbias","var_empirical","CP","CIlength"
"1",-1.746,0.154,94.375,1.534
"2",-6.423,0.11,94.618,1.296
"9",-0.264,0.141,94.875,1.431
"5",-2.936,0.129,93.75,1.364
