"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.00100361677166028,0.0581597354324562,0.0581607426790805,0.0587324111210317,-0.164527339616439,95.25,0.950535365792333
"z",-0.00812981102417398,0.0279322852136036,0.0279983790408924,0.0274119975641575,1.33275590560229,94.25,0.649548126186322
"f",0.0041402209215532,0.0315267899728066,0.0315439314020858,0.0304176443046894,-0.678724741238229,94.375,0.688456343541253
"o",-0.00384655266199196,0.0389765488522804,0.0389913448196618,0.041222154867779,0.63058240360524,95.75,0.797067862647081
