"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0109425558804711,0.0597327671343854,0.0598525066635826,0.0587152431911224,1.79386161974936,94.9937421777222,0.949749140705
"z",-0.00443636879159115,0.0258560900896031,0.0258757714576581,0.0257494830595384,0.727273572391992,94.8685857321652,0.630018213806492
"f",-0.0102948365633679,0.0336449699303506,0.0337509535902171,0.0323521894460853,1.68767812514228,94.1176470588235,0.709699080312113
"o",-0.00801312469393467,0.0372368481395517,0.0373010583069123,0.0373798936138045,1.31362699900568,94.7434292866083,0.758609467237291
