"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",-0.0252859449541307,0.101467277030847,0.10210665604307,0.0977884881311838,4.14523687772635,94.375,1.22716355835091
"z",-0.0108550121800897,0.0400131141040339,0.0401309453934638,0.0416878874915289,1.77951019345732,94.375,0.802098214858621
"f",-0.00545151778240349,0.0473764149804457,0.0474061340265775,0.0473693106024982,0.893691439738277,95.5,0.85971324859362
"o",-0.0146760921366283,0.0740971054396262,0.074312493120029,0.0680435112414791,2.40591674370957,93.4918648310388,1.0243303135322
