"","bias","var_empirical","mse","var_estimated","rbias","CP","CIlength"
"u",0.007209725694864,0.0976661694652973,0.0977181496098925,0.0978270082656711,-1.18192224505967,95.625,1.22646001094793
"z",-0.00738745463236734,0.0345306161824871,0.0345851906684323,0.0378339481207827,1.21105813645366,96.125,0.765941319789806
"f",0.000545087187372895,0.0509793070396399,0.0509796041596818,0.0507799006756029,-0.0893585553070319,96.5,0.890664211095962
"o",-0.00681399639611502,0.0607770715902025,0.0608235021370888,0.0609831871066866,1.11704858952705,94.75,0.96830327678659
