"","rbias","var_empirical","CP","CIlength"
"1",-1.091,0.121,94.5,1.329
"2",2.866,0.089,93.5,1.122
"9",-0.324,0.111,94.25,1.238
"5",-2.845,0.103,92.75,1.179
