"","rbias","var_empirical","CP","CIlength"
"1",-2.457,0.067,97.5,1.085
"2",2.912,0.049,95.75,0.916
"9",-0.77,0.077,91.75,0.988
"5",-1.282,0.061,93.75,0.928
