"","rbias","var_empirical","CP","CIlength"
"1",-4.795,0.118,96.5,1.334
"2",-2.081,0.078,95.5,1.109
"9",-3.468,0.105,95.25,1.222
"5",-2.16,0.104,92.5,1.164
